"gap","rural","state"
67.3381433723267,0,"Alaska"
132.805791034337,1,"Alaska"
-0.603276870997013,0,"Alabama"
15.1406072405389,1,"Alabama"
-5.92435856670357,0,"Arkansas"
10.3403261982319,1,"Arkansas"
-0.741501343250966,0,"Arizona"
-2.65916877274845,1,"Arizona"
-0.48330429063839,0,"California"
-3.98875312190003,1,"California"
-0.368876958121288,0,"Colorado"
0.809373186417911,1,"Colorado"
-1.12770333051521,0,"Connecticut"
-1.63728222007579,1,"Connecticut"
0.73624173510802,0,"District of Columbia"
-0.367050179668127,1,"District of Columbia"
-1.64451019694212,0,"Delaware"
-4.35498322049589,1,"Delaware"
-0.720781689038939,0,"Florida"
3.4247885801392,1,"Florida"
-1.75839279894887,0,"Georgia"
9.68730202288597,1,"Georgia"
-0.381258131552223,0,"Hawaii"
-1.04134285908448,1,"Hawaii"
-1.87636332509487,0,"Iowa"
0.184273889815786,1,"Iowa"
0.131170873029458,0,"Idaho"
2.68336469683078,1,"Idaho"
-3.32508176965295,0,"Illinois"
-1.82706511309426,1,"Illinois"
-2.61416817497247,0,"Indiana"
-1.08739741831886,1,"Indiana"
-1.9673781395519,0,"Kansas"
-0.27012972385635,1,"Kansas"
-6.02467120618487,0,"Kentucky"
-0.233345856067306,1,"Kentucky"
-1.14762247870071,0,"Louisiana"
3.59126853578279,1,"Louisiana"
-0.86163086640143,0,"Massachusetts"
-2.74672604988068,1,"Massachusetts"
-0.144391898126183,0,"Maine"
1.59543182621573,1,"Maine"
-0.910208941377819,0,"Maryland"
-2.51113369882751,1,"Maryland"
-1.75750306177459,0,"Michigan"
-1.82190193044295,1,"Michigan"
-2.69477641665298,0,"Minnesota"
1.16083580570349,1,"Minnesota"
-3.75701771032887,0,"Missouri"
0.115786105274986,1,"Missouri"
1.7830324795292,0,"Mississippi"
7.81821760714841,1,"Mississippi"
1.2940542906325,0,"Montana"
7.96847639474404,1,"Montana"
-1.15561884098789,0,"North Carolina"
0.415118251149763,1,"North Carolina"
-0.578980585684723,0,"North Dakota"
1.4800274075311,1,"North Dakota"
-2.17299494907657,0,"Nebraska"
0.447523113204279,1,"Nebraska"
-0.573657882965802,0,"New Hampshire"
0.260991713295368,1,"New Hampshire"
-1.18186376987519,0,"New Jersey"
-3.75759208925417,1,"New Jersey"
2.92364545745885,0,"New Mexico"
3.41690433452469,1,"New Mexico"
-1.23611374091447,0,"Nevada"
-2.15025036603058,1,"Nevada"
-1.07048065448135,0,"New York"
-1.20690635928927,1,"New York"
-2.12686830431364,0,"Ohio"
-0.245970407585366,1,"Ohio"
-1.81405576048162,0,"Oklahoma"
-0.262681048610292,1,"Oklahoma"
-0.324064746645669,0,"Oregon"
0.364140600574235,1,"Oregon"
-3.01236249525461,0,"Pennsylvania"
-0.788817297538329,1,"Pennsylvania"
-0.905079681380116,0,"Rhode Island"
-4.20327936122362,1,"Rhode Island"
2.60152108964519,0,"South Carolina"
5.53103630553321,1,"South Carolina"
-0.185887730618143,0,"South Dakota"
3.58596879732759,1,"South Dakota"
-3.16628723884728,0,"Tennessee"
1.89633338584102,1,"Tennessee"
-1.75677556399977,0,"Texas"
-1.92796629128105,1,"Texas"
0.00273115195321211,0,"Utah"
-0.64091993500963,1,"Utah"
-1.46909223211588,0,"Virginia"
-2.20604959463007,1,"Virginia"
-0.356820932861575,0,"Vermont"
0.84708802603902,1,"Vermont"
-0.85554250674008,0,"Washington"
-0.382275182653806,1,"Washington"
-4.40802086657374,0,"Wisconsin"
-0.0871712965327495,1,"Wisconsin"
-1.75324243326957,0,"West Virginia"
0.30492765381194,1,"West Virginia"
-1.82750208353934,0,"Wyoming"
3.65672437916244,1,"Wyoming"
