"gap","rural","state"
-2.82103052302081,0,"Alaska"
-78.1236172633643,1,"Alaska"
1.69488771418623,0,"Alabama"
4.88419541693902,1,"Alabama"
3.46807943551171,0,"Arkansas"
10.195188506774,1,"Arkansas"
1.03228777804465,0,"Arizona"
8.89394784745783,1,"Arizona"
-0.212416890542646,0,"California"
-0.651113473585636,1,"California"
-0.768517227441406,0,"Colorado"
3.08910779312741,1,"Colorado"
-1.36875201819078,0,"Connecticut"
-2.41130055904151,1,"Connecticut"
0.52652549151455,0,"District of Columbia"
-0.248884989061469,1,"District of Columbia"
-0.884898048185818,0,"Delaware"
-2.79481047481633,1,"Delaware"
-0.224010763388354,0,"Florida"
0.412036466826498,1,"Florida"
1.5936076202592,0,"Georgia"
4.22468187407244,1,"Georgia"
0.349592116676306,0,"Hawaii"
3.99123295349753,1,"Hawaii"
0.0676600414451881,0,"Iowa"
3.4095992349902,1,"Iowa"
1.26630354210612,0,"Idaho"
4.4452930778674,1,"Idaho"
1.43796607554889,0,"Illinois"
3.07656858742856,1,"Illinois"
-0.644306168242792,0,"Indiana"
0.956321649540268,1,"Indiana"
2.55461982590049,0,"Kansas"
11.9626145499752,1,"Kansas"
2.96425633641054,0,"Kentucky"
4.7223482889767,1,"Kentucky"
2.34454832020876,0,"Louisiana"
7.60979277406578,1,"Louisiana"
-0.884020583688378,0,"Massachusetts"
-1.84828431417764,1,"Massachusetts"
-0.946330687697486,0,"Maine"
1.72186281641337,1,"Maine"
-0.843543057126441,0,"Maryland"
-0.524465178491344,1,"Maryland"
-0.296925882880421,0,"Michigan"
2.1068295496531,1,"Michigan"
-0.152053153772871,0,"Minnesota"
5.09515532077715,1,"Minnesota"
1.54622183627716,0,"Missouri"
8.45885938274128,1,"Missouri"
3.68060869748489,0,"Mississippi"
7.65979346759082,1,"Mississippi"
8.60821400749091,0,"Montana"
27.7727462301603,1,"Montana"
0.0109499009518204,0,"North Carolina"
0.0942883555435945,1,"North Carolina"
-0.635072661908739,0,"North Dakota"
10.2006904449675,1,"North Dakota"
0.399556554349983,0,"Nebraska"
9.69708164059814,1,"Nebraska"
-0.904163286339495,0,"New Hampshire"
1.27962668676989,1,"New Hampshire"
-0.285402165795859,0,"New Jersey"
-1.43628796760113,1,"New Jersey"
-0.755423253855645,0,"New Mexico"
6.45505654135662,1,"New Mexico"
-0.589137494037811,0,"Nevada"
2.22735812636786,1,"Nevada"
-0.423374158199602,0,"New York"
0.546366973795513,1,"New York"
-0.324536833244992,0,"Ohio"
1.34761980775971,1,"Ohio"
0.515230654322714,0,"Oklahoma"
2.04516605791885,1,"Oklahoma"
-0.18015689217421,0,"Oregon"
4.00752707331039,1,"Oregon"
0.00833279105675801,0,"Pennsylvania"
1.06580225141784,1,"Pennsylvania"
-1.06805543277351,0,"Rhode Island"
-7.53432434323817,1,"Rhode Island"
2.3063414939565,0,"South Carolina"
4.92562753519494,1,"South Carolina"
0.519601820660166,0,"South Dakota"
16.2850994582439,1,"South Dakota"
1.3882333080374,0,"Tennessee"
1.33372348810714,1,"Tennessee"
1.55551621572353,0,"Texas"
8.41536424077092,1,"Texas"
-0.92854286993182,0,"Utah"
8.91616145600529,1,"Utah"
0.795821742930619,0,"Virginia"
6.74508009268843,1,"Virginia"
-1.26175716679916,0,"Vermont"
1.5446794962417,1,"Vermont"
-0.669938052801748,0,"Washington"
2.12336166680171,1,"Washington"
-0.747918270986617,0,"Wisconsin"
3.10899303354926,1,"Wisconsin"
2.86447181605056,0,"West Virginia"
5.15756081088582,1,"West Virginia"
1.16014725105627,0,"Wyoming"
4.21852571490833,1,"Wyoming"
